iter,run,tensor,layer,wmax,wrms
68000,cont4b,self_attention.linear_qkv,30,0.433594,0.0372335
68000,cont4b,self_attention.linear_qkv,31,0.511719,0.0335217
68000,cont4b,self_attention.linear_qkv,32,0.478516,0.0347934
68000,cont4b,self_attention.linear_qkv,33,0.523438,0.0333972
68000,cont4b,self_attention.linear_qkv,34,0.427734,0.0359401
68000,cont4b,self_attention.linear_qkv,35,0.460938,0.0344228
68000,cont4b,self_attention.linear_qkv,36,0.419922,0.0316836
68000,cont4b,self_attention.linear_qkv,37,0.314453,0.0282649
68000,cont4b,self_attention.linear_qkv,38,0.314453,0.0319628
68000,cont4b,self_attention.linear_qkv,39,0.333984,0.0293479
68000,cont4b,self_attention.linear_qkv,40,0.314453,0.0293516
68000,cont4b,self_attention.linear_qkv,41,0.306641,0.0289119
68000,cont4b,self_attention.linear_qkv,42,0.25,0.0276411
68000,cont4b,self_attention.linear_qkv,43,0.251953,0.0283088
68000,cont4b,self_attention.linear_qkv,44,0.279297,0.0285741
68000,cont4b,self_attention.linear_qkv,45,0.296875,0.0303872
68000,cont4b,self_attention.linear_qkv,46,0.347656,0.0320293
